order_id,item_id,quantity
O00879,M0282,1
O03430,M0036,2
O02682,M0178,1
O02350,M0341,4
O00938,M0017,1
O03807,M0309,2
O01795,M0029,3
O03494,M0210,1
O00441,M0044,2
O04601,M0125,2
O03755,M0045,1
O00736,M0371,2
O01643,M0066,4
O00563,M0180,1
O01025,M0016,3
O04362,M0367,3
O00095,M0255,4
O03566,M0385,3
O01839,M0396,3
O02557,M0196,1
O02503,M0336,2
O01183,M0226,4
O01793,M0325,3
O03137,M0013,1
O00722,M0171,2
O00057,M0188,4
O01680,M0375,3
O04029,M0077,3
O01925,M0180,4
O00681,M0252,4
O04381,M0087,2
O02604,M0388,1
O01034,M0235,2
O03230,M0232,1
O04173,M0201,4
O03174,M0180,4
O01251,M0067,3
O00628,M0319,4
O03349,M0280,4
O04184,M0139,3
O03878,M0240,1
O01308,M0297,1
O01702,M0186,1
O00300,M0212,1
O04181,M0156,4
O02469,M0075,2
O01928,M0161,3
O01717,M0158,1
O02517,M0372,4
O03100,M0281,2
O00905,M0078,1
O02755,M0327,4
O02071,M0310,3
O01341,M0183,3
O04710,M0089,1
O03275,M0338,3
O02319,M0330,1
O01014,M0052,4
O01603,M0280,1
O04352,M0076,4
O02041,M0002,4
O01913,M0158,2
O02764,M0347,3
O04100,M0258,2
O00531,M0271,3
O04807,M0215,1
O03320,M0208,3
O00150,M0178,1
O00826,M0023,2
O00747,M0083,3
O02548,M0101,3
O00674,M0372,2
O02025,M0016,1
O03289,M0027,3
O04325,M0218,1
O01964,M0255,2
O00824,M0366,4
O00434,M0030,2
O01337,M0032,2
O00861,M0305,4
O04512,M0304,1
O00657,M0046,3
O00266,M0007,2
O02440,M0244,1
O01972,M0055,4
O00811,M0302,4
O04545,M0213,1
O00860,M0323,4
O01275,M0390,3
O00418,M0370,3
O00808,M0298,3
O03823,M0269,3
O02988,M0005,1
O00632,M0106,4
O02792,M0115,3
O04343,M0085,1
O00186,M0242,2
O04573,M0271,4
O04282,M0382,1
O03864,M0071,4
O04905,M0390,1
O01858,M0240,1
O03404,M0055,4
O00226,M0283,1
O03851,M0080,2
O01662,M0347,4
O02059,M0247,4
O00989,M0275,2
O03975,M0174,2
O00331,M0230,4
O04585,M0055,1
O01492,M0147,1
O04498,M0188,3
O03814,M0257,1
O00121,M0087,3
O02402,M0100,2
O01748,M0203,2
O01330,M0063,4
O04793,M0020,4
O04936,M0343,4
O04518,M0181,4
O02127,M0204,4
O00164,M0200,4
O02921,M0034,4
O00970,M0126,3
O01164,M0046,3
O00450,M0377,1
O03331,M0153,2
O03182,M0038,1
O03935,M0005,2
O01619,M0187,1
O04282,M0393,3
O01283,M0145,2
O00922,M0318,2
O04735,M0071,3
O04439,M0150,1
O01806,M0013,1
O02470,M0055,4
O04921,M0039,1
O02592,M0118,1
O01208,M0052,3
O00584,M0194,4
O02988,M0391,4
O02383,M0207,2
O01894,M0342,3
O01907,M0159,1
O00766,M0002,3
O00140,M0061,3
O04086,M0216,3
O01274,M0252,4
O01002,M0164,4
O02022,M0283,3
O02630,M0382,1
O01121,M0280,1
O03679,M0253,3
O00807,M0069,2
O04852,M0191,4
O04151,M0051,3
O02968,M0133,2
O03084,M0328,1
O04904,M0237,2
O01861,M0376,4
O00155,M0079,3
O02398,M0223,3
O02296,M0217,4
O03839,M0073,1
O02934,M0034,4
O00834,M0014,4
O01668,M0032,4
O01004,M0186,4
O02160,M0387,4
O04355,M0329,2
O03942,M0341,1
O01774,M0051,4
O02606,M0158,2
O04343,M0009,2
O03624,M0152,1
O02472,M0258,3
O03761,M0344,2
O03141,M0026,2
O04610,M0089,3
O02127,M0395,4
O04327,M0207,2
O03694,M0096,3
O00375,M0230,4
O03512,M0129,2
O00085,M0229,4
O01695,M0074,4
O00554,M0362,2
O02772,M0107,4
O03899,M0214,2
O02934,M0310,2
O01785,M0271,4
O04129,M0244,1
O03330,M0344,1
O02157,M0265,4
O04845,M0348,2
O01445,M0030,3
O03036,M0399,2
O02128,M0004,3
O00209,M0352,2
O03886,M0103,4
O00687,M0168,4
O03515,M0132,1
O02575,M0099,3
O03371,M0231,1
O03881,M0257,4
O04095,M0364,3
O02821,M0131,2
O03575,M0040,1
O01977,M0270,3
O01206,M0093,4
O01721,M0207,2
O03731,M0374,2
O01477,M0031,2
O01438,M0330,2
O03950,M0053,1
O00615,M0238,3
O04015,M0219,1
O04029,M0055,4
O01347,M0030,3
O01292,M0316,3
O00935,M0148,3
O04526,M0207,2
O00266,M0192,2
O00849,M0218,1
O01699,M0300,2
O01534,M0016,2
O03386,M0292,1
O00784,M0137,2
O03257,M0138,4
O00635,M0032,4
O04476,M0013,1
O03692,M0238,1
O01770,M0042,4
O01590,M0229,1
O02806,M0351,1
O00270,M0150,2
O01710,M0095,4
O03759,M0094,3
O02291,M0193,2
O00927,M0226,2
O04614,M0143,4
O03550,M0124,1
O04424,M0114,1
O03258,M0388,3
O02131,M0032,2
O02866,M0316,3
O00891,M0358,2
O04954,M0116,2
O03785,M0359,2
O04041,M0093,1
O01312,M0294,1
O03176,M0114,3
O00392,M0153,4
O00488,M0065,4
O03439,M0232,4
O02713,M0088,4
O01362,M0284,3
O02916,M0106,4
O02170,M0320,3
O00192,M0232,1
O04143,M0280,4
O02469,M0002,4
O04057,M0187,4
O00178,M0087,1
O04470,M0006,1
O04629,M0088,1
O01360,M0096,1
O03043,M0398,3
O01952,M0318,1
O02290,M0133,1
O04791,M0116,2
O01286,M0179,2
O02026,M0106,2
O00054,M0086,2
O02929,M0035,1
O01262,M0192,3
O02819,M0031,1
O01854,M0173,3
O02692,M0368,1
O01852,M0208,3
O01706,M0320,2
O02012,M0099,2
O02413,M0127,4
O01338,M0304,4
O01084,M0004,1
O02842,M0289,2
